curie	label	scope	text	language	type	contributor	date
QUALO:0000057	master of science	oboInOwl:hasExactSynonym	Mestre em Ciências	pt		0000-0003-4423-4370	2024-10-27
QUALO:0000057	master of science	oboInOwl:hasExactSynonym	Master Science	en		0000-0003-4423-4370	2024-10-27
QUALO:0000057	master of science	oboInOwl:hasExactSynonym	Masters of Science	en		0000-0003-4423-4370	2024-10-27
QUALO:0000057	master of science	oboInOwl:hasExactSynonym	Master of Science (MSc)	en		0000-0003-4423-4370	2024-10-27
QUALO:0000057	master of science	oboInOwl:hasExactSynonym	Master in Science	en		0000-0003-4423-4370	2024-10-27
QUALO:0000057	master of science	oboInOwl:hasExactSynonym	Master's of Science	en		0000-0003-4423-4370	2024-10-27
QUALO:0000057	master of science	oboInOwl:hasExactSynonym	MS Student	en		0000-0003-4423-4370	2024-10-27
QUALO:0000057	master of science	oboInOwl:hasExactSynonym	msc	en		0000-0003-4423-4370	2024-10-27
QUALO:0000057	master of science	oboInOwl:hasExactSynonym	M.S. degree	en		0000-0003-4423-4370	2024-10-27
QUALO:0000057	master of science	oboInOwl:hasExactSynonym	ms	en		0000-0003-4423-4370	2024-10-27
QUALO:0000057	master of science	oboInOwl:hasExactSynonym	Master of Science (M.Sc.)	en		0000-0003-4423-4370	2024-10-27
QUALO:0000057	master of science	oboInOwl:hasExactSynonym	MSci	en		0000-0003-4423-4370	2024-10-27
QUALO:0000057	master of science	oboInOwl:hasExactSynonym	msc candidate	en		0000-0003-4423-4370	2024-10-27
QUALO:0000057	master of science	oboInOwl:hasExactSynonym	Maestro en Ciencias	es		0000-0003-4423-4370	2024-10-27
QUALO:0000057	master of science	oboInOwl:hasExactSynonym	M.Sc.,	en		0000-0003-4423-4370	2024-10-27
QUALO:0000057	master of science	oboInOwl:hasExactSynonym	ms c	en		0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym	B.S. Biology	en		0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym	Bachelor in Biology	en		0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym	BSc Biological Sciences	en		0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym	BSc Biomedical Sciences	en		0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym	B.S. Biological Sciences	en		0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym	BSc Biology	en		0000-0003-4423-4370	2024-10-27
